State,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MISSOURI,2590,2615,3112,3473,3728,3987,4293,4781,5407,6112,6705,8727,8152,8756,9251,9812,11273,11808,13462,13484,13660,14188,15204,15874,17441,18298,19412,20251,19632,19333,19299,18231,17769,17999,18232,18995,19020,18218,18441,18567,17317,14391
MISSISSIPPI,1277,2407,1930,2880,3175,2832,2913,2925,2987,3017,3176,3626,3785,3910,4494,4768,4362,5091,5467,5684,6670,5912,5932,6946,5764,8537,9305,9055,10053,9835,8027,8357,8390,8416,8569,8112,6576,6465,7510,7553,7439,7284
MONTANA,472,397,411,550,531,455,528,555,559,620,568,632,662,643,698,680,888,844,1005,1203,1289,1311,1228,1499,1551,1960,2232,2472,2359,2130,2324,2376,2338,2066,2022,2384,2453,2402,2677,2658,2772,2428
NORTH CAROLINA,7591,8710,8354,9402,9485,8943,8949,9269,9640,10692,12601,15709,18389,21696,24850,25577,23867,19734,14359,12316,11403,10307,9848,9529,9529,9609,10472,10496,10648,10875,11826,12172,11965,11523,12099,14080,16018,16319,16009,18242,17251,16554
NORTH DAKOTA,153,148,195,208,249,311,240,242,296,313,305,337,364,340,317,352,400,478,585,591,765,724,612,748,771,996,1015,1093,1102,1037,1091,1047,1024,958,1171,1228,1163,1603,1624,1604,1527,1460
NEBRASKA,563,525,821,947,695,613,635,710,822,835,1078,1259,1253,1404,1411,1468,1608,1677,1724,1647,1791,1622,1709,1804,1975,1980,2115,2295,1980,2108,2085,2125,2258,2451,2826,2963,2744,2323,2336,2484,2437,2536
NEW HAMPSHIRE,214,213,216,290,282,284,304,340,407,435,512,577,681,828,916,957,1065,968,996,1039,1000,1083,1066,1181,1125,1147,1100,1484,2676,1509,1464,1545,1515,1746,1838,1674,1776,1604,1557,1361,1327,1309
NEW JERSEY,3707,3768,3935,4399,4586,6034,5359,5893,5989,7187,7707,9696,10634,12134,12495,12679,13188,15020,15001,16212,16801,15121,13653,14422,14576,14398,13886,14251,13998,13814,13011,12289,12446,10571,10447,10179,9585,9335,9161,8936,8050,7479
NEW MEXICO,766,837,667,1255,1047,1346,1530,1797,1843,1679,2060,2026,1914,1632,2255,2334,2318,2346,2845,3033,2347,1958,3185,2562,2020,4171,4298,4271,4343,4153,4103,6057,4249,3492,3581,3569,3798,3996,3616,3849,3591,3123
NEVADA,842,941,1087,1195,1439,1487,1443,1739,2069,1996,2541,3057,3121,3163,3230,3202,3701,3920,4272,4533,4773,4479,4929,4639,4844,4865,6906,5674,6244,6517,4610,5409,5916,5923,5263,5263,5876,6368,6257,5873,6334,5887
