Jurisdiction ,Facility Name,Facility Type,Total RC,Date
Alameda,Santa Rita Jail,II,3812,9/27/2023
Amador,Amador County Jail,II,76,9/27/2023
Butte,Butte County Jail,II,614,9/27/2023
Calaveras,Calaveras Co. Adult Detention Facility,II,128,9/27/2023
Colusa,Colusa County Jail,II,92,9/27/2023
Contra Costa,Martinez Detention Facility,II,683,9/27/2023
Contra Costa,Marsh Creek Detention Facility,III,188,9/27/2023
Contra Costa,West County Detention Facility,II,1096,9/27/2023
Del Norte,Del Norte County Jail,II,146,9/27/2023
El Dorado,El Dorado County Jail,II,303,9/27/2023
El Dorado,South Lake Tahoe Jail,II,158,9/27/2023
Fresno,Fresno South Annex Jail,II,528,9/27/2023
Fresno,Fresno North Annex Jail,II,1152,9/27/2023
Fresno,Fresno County Main Jail,II,1064,9/27/2023
Glenn,Glenn Co Adult Detention Fac,II,144,9/27/2023
Humboldt,Humboldt Co. Corr. Facility,II,417,9/27/2023
Imperial,Imperial Adult Regional  Fac.,II,276,9/27/2023
Imperial,Herbert Hughes Corr. Center,II,324,9/27/2023
Imperial,Oren Fox Detention Facility,II,270,9/27/2023
Inyo,Inyo County Jail,II,96,9/27/2023
Kern,Central Receiving Facility,II,292,9/27/2023
Kern,Lerdo Pre-Trial Facility,II,1336,9/27/2023
Kern,Lerdo Maximum/Medium,II,408,9/27/2023
Kern,Kern County Justice Facility,II,796,9/27/2023
Kern,Lerdo Minimum Facility,II,792,9/27/2023
Kings,Kings County Jail Facility,II,613,9/27/2023
Lake,Lake County Jail- Hill Road Facility,II,286,9/27/2023
Lassen,Lassen Adult Detention Facility,II,231,9/27/2023
Lassen ,Lassen County Adult Jail Annex,II,40,9/27/2023
Los Angeles,LA Men's Central Jail,II,3512,9/27/2023
Los Angeles,LA Twin Towers Corr. Facility,II,2432,9/27/2023
Los Angeles,L A Inmate Reception Center,II,0,9/27/2023
Los Angeles,LA North County Corr. Facility,II,2214,9/27/2023
Los Angeles,LA Pitchess East Facility,II,926,9/27/2023
Los Angeles,LA Pitchess South (No.  Annex),II,782,9/27/2023
Los Angeles,LA Pitchess North Facility,II,830,9/27/2023
Los Angeles,LA Century Reg. Det. Facility,II,1708,9/27/2023
Madera,Madera Adult Correctional Fac,II,560,9/27/2023
Marin,Marin County Jail,II,349,9/27/2023
Mariposa,Mariposa Co. Adult Det. Fac.,II,58,9/27/2023
Mendocino,Mendocino Adult Det. Facility,II,295,9/27/2023
Merced,Merced County Jail,II,189,9/27/2023
Merced,John Latorraca Correctional Center,II,566,9/27/2023
Modoc,Modoc County Jail,II,43,9/27/2023
Mono,Mono County Jail,II,48,9/27/2023
Monterey,Monterey County Jail,II,1151,9/27/2023
Napa,Napa County Jail,II,276,9/27/2023
Napa,Staff Secure Facility/ Transitional Facility,IV,72,9/27/2023
Nevada,Wayne Brown Correctional Facility,II,284,9/27/2023
Orange,Orange County Mens Jail,II,1219,9/27/2023
Orange,Intake Release Center,II,407,9/27/2023
Orange,Orange County Women's Jail,II,270,9/27/2023
Orange,Theo Lacy,II,2080,9/27/2023
Orange,Santa Ana Police Facility,II,503,9/27/2023
Placer,Placer County Main Jail,II,492,9/27/2023
Placer,South Placer Jail,II,300,9/27/2023
Placer,So. Placer Mimimum Security,II,120,9/27/2023
Plumas,Plumas County Jail,II,67,9/27/2023
Riverside,Robert Presley Detention Ctr.,II,760,9/27/2023
Riverside,Larry D. Smith Correctional Facility,II,1458,9/27/2023
Riverside,Cois Byrd Detention Center,II,1142,9/27/2023
Riverside,Blythe Jail,II,79,9/27/2023
Riverside,John J. Benoit Detention Center,II,1536,9/27/2023
Sacramento,Sacramento County Main Jail,II,2400,9/27/2023
Sacramento,Rio Cosumnes Correctional Ctr.,II,1625,9/27/2023
San Benito,San Benito Adult Detention,II,142,9/27/2023
San Benito,Curtis J. Hill Rehabilitation Center,II,72,9/27/2023
San Bernardino,San Bernardino Central Detention Center,II,712,9/27/2023
San Bernardino,San Bernardino Glen Helen,II,1070,9/27/2023
San Bernardino,San Bernardino High Desert Detention Center,II,2098,9/27/2023
San Bernardino,West Valley Detention Center,II,3072,9/27/2023
San Diego,San Diego Central Jail,II,946,9/27/2023
San Diego,Las Colinas Women's Detention,II,1216,9/27/2023
San Diego,Facility # 8,II,200,9/27/2023
San Diego,South Bay Detention Facility,II,386,9/27/2023
San Diego,George Bailey Detention Facility,II,1380,9/27/2023
San Diego,Rock Mountain Detention Facility,II,200,9/27/2023
San Diego,East Mesa Reentry Facility,II,760,9/27/2023
San Diego,Vista Detention Facility,II,807,9/27/2023
San Diego,CorCivic Detention Services,IV,488,9/27/2023
San Francisco,San Francisco County Jail #2,II,392,9/27/2023
San Francisco,San Francisco Co. Jail #53,II,768,9/27/2023
San Francisco,San Francisco Co. Jail #3 Annex,II,124,9/27/2023
San Joaquin,John J. Zunino Facility,II,1195,9/27/2023
San Joaquin,San Joaquin County Honor Farm,II,355,9/27/2023
San Luis Obispo,San Luis Obispo County Jail,II,639,9/27/2023
San Luis Obispo,San Luis Obispo Honor Farm,III,63,9/27/2023
San Mateo,Maguire Correctional Facility,II,688,9/27/2023
San Mateo,Maple Steet Correctional Facility,II,586,9/27/2023
San Mateo,SM Transitional Facility,IV,88,9/27/2023
Santa Barbara,Santa Barbara County Main Jail,II,615,9/27/2023
Santa Barbara,Northern Branch Jail,II,344,9/27/2023
Santa Barbara,Medium Security Facility,II,160,9/27/2023
Santa Clara,Santa Clara County Main Jail,II,1350,9/27/2023
Santa Clara,Elmwood Complex - Men's facility,II,2397,9/27/2023
Santa Clara,Elmwood Complex - Women's Facility,II,634,9/27/2023
Santa Cruz,Santa Cruz County Jail,II,319,9/27/2023
Santa Cruz,Santa Cruz Roundtree Lane Min,II,96,9/27/2023
Santa Cruz,Santa Cruz Blaine Womens Min,II,32,9/27/2023
Shasta,Shasta County Main Jail,II,484,9/27/2023
Siskiyou,Siskiyou County Jail,II,104,9/27/2023
Solano,Claybank Facility,II,358,9/27/2023
Solano,Stanton Correctional Facility,II,365,9/27/2023
Solano,Solano County Justice Center,II,712,9/27/2023
Sonoma,Sonoma Main Adult Detention,II,848,9/27/2023
Sonoma,Sonoma-North County Facility,II,561,9/27/2023
Stanislaus,Sheriff's Detention Center East & West,II,1014,9/27/2023
Stanislaus,REACT Center,II,288,9/27/2023
Stanislaus,Minimum Housing Units 1 & 2,II,384,9/27/2023
Sutter,Sutter County Jail,II,400,9/27/2023
Tehama,Tehama County Jail,II,191,9/27/2023
Trinity,Trinity Co. Detention Facility (replacement),II,72,9/27/2023
Tulare,South County Detention Facility,II,519,9/27/2023
Tulare,Pre-Trial Facility,II,384,9/27/2023
Tulare,Bob Wiley Detention Facility,II,696,9/27/2023
Tuolumne,J.H Dambacher Detention Center,II,234,9/27/2023
Ventura,Ventura County Main Jail,II,823,9/27/2023
Ventura,Todd Road Jail,II,856,9/27/2023
Yolo,Monroe Detention Center,II,274,9/27/2023
Yolo,Leinberger Detention Center,II,120,9/27/2023
Yuba,Yuba County Jail,II,426,9/27/2023
Alameda,Santa Rita Jail,II,3812,5/3/2023
Amador,Amador County Jail,II,76,5/3/2023
Butte,Butte County Jail,II,614,5/3/2023
Calaveras,Calaveras Co. Adult Detention Facility,II,128,5/3/2023
Colusa,Colusa County Jail,II,92,5/3/2023
Contra Costa,Martinez Detention Facility,II,683,5/3/2023
Contra Costa,Marsh Creek Detention Facility,III,188,5/3/2023
Contra Costa,West County Detention Facility,II,1096,5/3/2023
Del Norte,Del Norte County Jail,II,146,5/3/2023
El Dorado,El Dorado County Jail,II,303,5/3/2023
El Dorado,South Lake Tahoe Jail,II,158,5/3/2023
Fresno,Fresno South Annex Jail,II,528,5/3/2023
Fresno,Fresno North Annex Jail,II,1152,5/3/2023
Fresno,Fresno County Main Jail,II,1064,5/3/2023
Glenn,Glenn Co Adult Detention Fac,II,144,5/3/2023
Humboldt,Humboldt Co. Corr. Facility,II,417,5/3/2023
Imperial,Imperial Adult Regional  Fac.,II,276,5/3/2023
Imperial,Herbert Hughes Corr. Center,II,324,5/3/2023
Imperial,Oren Fox Detention Facility,II,270,5/3/2023
Inyo,Inyo County Jail,II,96,5/3/2023
Kern,Central Receiving Facility,II,292,5/3/2023
Kern,Lerdo Pre-Trial Facility,II,1336,5/3/2023
Kern,Lerdo Maximum/Medium,II,408,5/3/2023
Kern,Kern County Justice Facility,II,796,5/3/2023
Kern,Lerdo Minimun Facility,II,792,5/3/2023
Kings,Kings County Jail Facility,II,613,5/3/2023
Lake,Lake County Jail- Hill Road Facility,II,286,5/3/2023
Lassen,Lassen Adult Detention Facility,II,231,5/3/2023
Lassen ,Lassen County Adult Jail Annex,II,40,5/3/2023
Los Angeles,LA Men's Central Jail,II,3512,5/3/2023
Los Angeles,LA Twin Towers Corr. Facility,II,2432,5/3/2023
Los Angeles,L A Inmate Reception Center,II,0,5/3/2023
Los Angeles,LA North County Corr. Facility,II,2214,5/3/2023
Los Angeles,LA Pitchess East Facility,II,926,5/3/2023
Los Angeles,LA Pitchess South (No.  Annex),II,782,5/3/2023
Los Angeles,LA Pitchess North Facility,II,830,5/3/2023
Los Angeles,LA Century Reg. Det. Facility,II,1708,5/3/2023
Madera,Madera Adult Correctional Fac,II,560,5/3/2023
Marin,Marin County Jail,II,349,5/3/2023
Mariposa,Mariposa Co. Adult Det. Fac.,II,58,5/3/2023
Mendocino,Mendocino Adult Det. Facility,II,295,5/3/2023
Merced,Merced County Jail,II,189,5/3/2023
Merced,John Latorraca Correctional Center,II,566,5/3/2023
Modoc,Modoc County Jail,II,43,5/3/2023
Mono,Mono County Jail,II,48,5/3/2023
Monterey,Monterey County Jail,II,1151,5/3/2023
Monterey,Monterey County Rehabilitation,II,250,5/3/2023
Napa,Napa County Jail,II,276,5/3/2023
Napa,Staff Secure Facility/ Transitional Facility,IV,72,5/3/2023
Nevada,Wayne Brown Correctional Facility,II,284,5/3/2023
Orange,Orange County Mens Jail,II,1219,5/3/2023
Orange,Intake Release Center,II,407,5/3/2023
Orange,Orange County Women's Jail,II,270,5/3/2023
Orange,James A  Musick Facilities,II,449,5/3/2023
Orange,Theo Lacy,II,2080,5/3/2023
Orange,Santa Ana Police Facility,II,503,5/3/2023
Placer,Placer County Main Jail,II,492,5/3/2023
Placer,South Placer Jail,II,300,5/3/2023
Placer,So. Placer Mimimum Security,II,120,5/3/2023
Plumas,Plumas County Jail,II,67,5/3/2023
Riverside,Robert Presley Detention Ctr.,II,760,5/3/2023
Riverside,Larry D. Smith Correctional Facility,II,1458,5/3/2023
Riverside,Cois Byrd Detention Center,II,1142,5/3/2023
Riverside,Blythe Jail,II,79,5/3/2023
Riverside,Indio Jail,II,238,5/3/2023
Riverside,John J. Benoit Detention Center,II,1536,5/3/2023
Sacramento,Sacramento County Main Jail,II,2400,5/3/2023
Sacramento,Rio Cosumnes Correctional Ctr.,II,1625,5/3/2023
San Benito,San Benito Adult Detention,II,142,5/3/2023
San Benito,Curtis J. Hill Rehabilitation Center,II,72,5/3/2023
San Bernardino,San Bernardino Central Detention Center,II,712,5/3/2023
San Bernardino,San Bernardino Glen Helen,II,1070,5/3/2023
San Bernardino,San Bernardino High Desert Detention Center,II,2098,5/3/2023
San Bernardino,West Valley Detention Center,II,3072,5/3/2023
San Diego,San Diego Central Jail,II,946,5/3/2023
San Diego,Las Colinas Women's Detention,II,1216,5/3/2023
San Diego,Facility # 8,II,200,5/3/2023
San Diego,South Bay Detention Facility,II,386,5/3/2023
San Diego,George Bailey Detention Facility,II,1380,5/3/2023
San Diego,East Mesa Reentry Facility,II,760,5/3/2023
San Diego,Vista Detention Facility,II,807,5/3/2023
San Diego,Work Furlough/Correctional Alternatives Inc.,IV,488,5/3/2023
San Francisco,San Francisco County Jail #2,II,392,5/3/2023
San Francisco,San Francisco County Jail #4,II,402,5/3/2023
San Francisco,San Francisco Co. Jail #53,II,768,5/3/2023
San Francisco,San Francisco Co. Jail #3 Annex,II,124,5/3/2023
San Joaquin,John J. Zunino Facility,II,1195,5/3/2023
San Joaquin,San Joaquin County Honor Farm,II,355,5/3/2023
San Luis Obispo,San Luis Obispo County Jail,II,639,5/3/2023
San Luis Obispo,San Luis Obispo Honor Farm,III,63,5/3/2023
San Mateo,Maguire Correctional Facility,II,688,5/3/2023
San Mateo,Maple Steet Correctional Facility,II,586,5/3/2023
San Mateo,SM Transitional Facility,IV,88,5/3/2023
Santa Barbara,Santa Barbara County Main Jail,II,615,5/3/2023
Santa Barbara,Northern Branch Jail,II,344,5/3/2023
Santa Barbara,Medium Security Facility,II,160,5/3/2023
Santa Clara,Santa Clara County Main Jail,II,1350,5/3/2023
Santa Clara,Elmwood Complex - Men's facility,II,2397,5/3/2023
Santa Clara,Elmwood Complex - Women's Facility,II,634,5/3/2023
Santa Cruz,Santa Cruz County Jail,II,319,5/3/2023
Santa Cruz,Santa Cruz Roundtree Lane Min,II,96,5/3/2023
Santa Cruz,Santa Cruz Medium Security,II,96,5/3/2023
Santa Cruz,Santa Cruz Blaine Womens Min,II,32,5/3/2023
Shasta,Shasta County Main Jail,II,484,5/3/2023
Siskiyou,Siskiyou County Jail,II,104,5/3/2023
Solano,Claybank Facility,II,358,5/3/2023
Solano,Stanton Correctional Facility,II,365,5/3/2023
Solano,Solano County Justice Center,II,712,5/3/2023
Sonoma,Sonoma Main Adult Detention,II,848,5/3/2023
Sonoma,Sonoma-North County Facility,II,561,5/3/2023
Stanislaus,Sheriff's Detention Center East & West,II,1014,5/3/2023
Stanislaus,REACT Center,II,288,5/3/2023
Stanislaus,Minimum Housing Units 1 & 2,II,384,5/3/2023
Sutter,Sutter County Jail,II,400,5/3/2023
Tehama,Tehama County Jail,II,191,5/3/2023
Trinity,Trinity Co. Detention Facility,II,53,5/3/2023
Trinity,Trinity Co. Detention Facility (replacement),II,72,5/3/2023
Tulare,South County Detention  Facility,II,519,5/3/2023
Tulare,Pre-Trial Facility,II,384,5/3/2023
Tulare,Bob Wiley Detention Facility,II,696,5/3/2023
Tulare,Men's Correctional Facility,II,366,5/3/2023
Tuolumne,Tuolumne County Jail,II,147,5/3/2023
Tuolumne,J.H Dambacher Detention Center,II,234,5/3/2023
Ventura,Ventura County Main Jail,II,823,5/3/2023
Ventura,Todd Road Jail,II,856,5/3/2023
Yolo,Monroe Detention Center,II,274,5/3/2023
Yolo,Leinberger Center,II,120,5/3/2023
Yuba,Yuba County Jail,II,426,5/3/2023
Alameda,Santa Rita Jail,II,3812,2/15/2023
Amador,Amador County Jail,II,76,2/15/2023
Butte,Butte County Jail,II,614,2/15/2023
Calaveras,Calaveras Co. Adult Detention Facility,II,128,2/15/2023
Colusa,Colusa County Jail,II,92,2/15/2023
Contra Costa,Martinez Detention Facility,II,683,2/15/2023
Contra Costa,West County Detention Facility,II,1096,2/15/2023
Contra Costa,Marsh Creek Detention Facility,III,188,2/15/2023
Del Norte,Del Norte County Jail,II,146,2/15/2023
El Dorado,El Dorado County Jail,II,303,2/15/2023
El Dorado,South Lake Tahoe Jail,II,158,2/15/2023
Fresno,Fresno South Annex Jail,II,528,2/15/2023
Fresno,Fresno North Annex Jail,II,1152,2/15/2023
Fresno,Fresno County Main Jail,II,1064,2/15/2023
Glenn,Glenn Co Adult Detention Fac,II,144,2/15/2023
Humboldt,Humboldt Co. Corr. Facility,II,417,2/15/2023
Imperial,Imperial Adult Regional  Fac.,II,276,2/15/2023
Imperial,Herbert Hughes Corr. Center,II,324,2/15/2023
Imperial,Oren Fox Detention Facility,II,270,2/15/2023
Inyo,Inyo County Jail,II,96,2/15/2023
Kern,Central Receiving Facility,II,292,2/15/2023
Kern,Lerdo Pre-Trial Facility,II,1336,2/15/2023
Kern,Lerdo Maximum/Medium,II,408,2/15/2023
Kern,Kern County Justice Facility,II,796,2/15/2023
Kern,Lerdo Minimum Facility,II,792,2/15/2023
Kings,Kings County Jail Facility,II,613,2/15/2023
Lake,Lake County Jail- Hill Road Facility,II,286,2/15/2023
Lassen,Lassen Adult Detention Facility,II,231,2/15/2023
Lassen ,Lassen County Adult Jail Annex,II,40,2/15/2023
Los Angeles,LA Men's Central Jail,II,3512,2/15/2023
Los Angeles,LA Twin Towers Corr. Facility,II,2432,2/15/2023
Los Angeles,L A Inmate Reception Center,II,0,2/15/2023
Los Angeles,LA North County Corr. Facility,II,2214,2/15/2023
Los Angeles,LA Pitchess East Facility,II,926,2/15/2023
Los Angeles,LA Pitchess South (No.  Annex),II,782,2/15/2023
Los Angeles,LA Pitchess North Facility,II,830,2/15/2023
Los Angeles,LA Century Reg. Det. Facility,II,1708,2/15/2023
Madera,Madera Adult Correctional Fac,II,560,2/15/2023
Marin,Marin County Jail,II,349,2/15/2023
Mariposa,Mariposa Co. Adult Det. Fac.,II,58,2/15/2023
Mendocino,Mendocino Adult Det. Facility,II,295,2/15/2023
Merced,Merced County Jail,II,189,2/15/2023
Merced,John Latorraca Correctional Center,II,566,2/15/2023
Modoc,Modoc County Jail,II,43,2/15/2023
Mono,Mono County Jail,II,48,2/15/2023
Monterey,Monterey County Jail,II,1151,2/15/2023
Napa,Napa County Jail,II,276,2/15/2023
Napa,Staff Secure Facility/ Transitional Facility,IV,72,2/15/2023
Nevada,Wayne Brown Correctional Facility,II,284,2/15/2023
Orange,Orange County Mens Jail,II,1219,2/15/2023
Orange,Intake Release Center,II,407,2/15/2023
Orange,Orange County Women's Jail,II,270,2/15/2023
Orange,James A  Musick Facilities,II,449,2/15/2023
Orange,Theo Lacy,II,2080,2/15/2023
Orange,Santa Ana Police Facility,II,503,2/15/2023
Placer,Placer County Main Jail,II,492,2/15/2023
Placer,South Placer Jail,II,300,2/15/2023
Placer,So. Placer Mimimum Security,II,120,2/15/2023
Plumas,Plumas County Jail,II,67,2/15/2023
Riverside,Robert Presley Detention Ctr.,II,760,2/15/2023
Riverside,Larry D. Smith Correctional Facility,II,1458,2/15/2023
Riverside,Cois Byrd Detention Center,II,1142,2/15/2023
Riverside,Blythe Jail,II,79,2/15/2023
Riverside,John J. Benoit Detention Center,II,1536,2/15/2023
Sacramento,Sacramento County Main Jail,II,2400,2/15/2023
Sacramento,Rio Cosumnes Correctional Ctr.,II,1625,2/15/2023
San Benito,San Benito Adult Detention,II,142,2/15/2023
San Benito,Curtis J. Hill Rehabilitation Center,II,72,2/15/2023
San Bernardino,San Bernardino Central Detention Center,II,712,2/15/2023
San Bernardino,San Bernardino Glen Helen,II,1070,2/15/2023
San Bernardino,San Bernardino High Desert Detention Center,II,2098,2/15/2023
San Bernardino,West Valley Detention Center,II,3072,2/15/2023
San Diego,San Diego Central Jail,II,946,2/15/2023
San Diego,Las Colinas Women's Detention,II,1216,2/15/2023
San Diego,Facility # 8,II,200,2/15/2023
San Diego,South Bay Detention Facility,II,386,2/15/2023
San Diego,George Bailey Detention Facility,II,1380,2/15/2023
San Diego,East Mesa Reentry Facility,II,760,2/15/2023
San Diego,Vista Detention Facility,II,807,2/15/2023
San Diego,Work Furlough/Correctional Alternatives Inc.,IV,488,2/15/2023
San Francisco,San Francisco County Jail #2,II,392,2/15/2023
San Francisco,San Francisco Co. Jail #53,II,768,2/15/2023
San Francisco,San Francisco Co. Jail #3 Annex,II,124,2/15/2023
San Joaquin,John J. Zunino Facility,II,1195,2/15/2023
San Joaquin,San Joaquin County Honor Farm,II,355,2/15/2023
San Luis Obispo,San Luis Obispo County Jail,II,639,2/15/2023
San Luis Obispo,San Luis Obispo Honor Farm,III,63,2/15/2023
San Mateo,Maguire Correctional Facility,II,688,2/15/2023
San Mateo,Maple Steet Correctional Facility,II,586,2/15/2023
San Mateo,SM Transitional Facility,IV,88,2/15/2023
Santa Barbara,Santa Barbara County Main Jail,II,615,2/15/2023
Santa Barbara,Northern Branch Jail,II,344,2/15/2023
Santa Barbara,Medium Security Facility,II,160,2/15/2023
Santa Clara,Santa Clara County Main Jail,II,1350,2/15/2023
Santa Clara,Elmwood Complex - Men's facility,II,2397,2/15/2023
Santa Clara,Elmwood Complex - Women's Facility,II,634,2/15/2023
Santa Cruz,Santa Cruz County Jail,II,319,2/15/2023
Santa Cruz,Santa Cruz Roundtree Lane Min,II,96,2/15/2023
Santa Cruz,Santa Cruz Blaine Womens Min,II,32,2/15/2023
Shasta,Shasta County Main Jail,II,484,2/15/2023
Siskiyou,Siskiyou County Jail,II,104,2/15/2023
Solano,Claybank Facility,II,358,2/15/2023
Solano,Stanton Correctional Facility,II,365,2/15/2023
Solano,Solano County Justice Center,II,712,2/15/2023
Sonoma,Sonoma Main Adult Detention,II,848,2/15/2023
Sonoma,Sonoma-North County Facility,II,561,2/15/2023
Stanislaus,Sheriff's Detention Center East & West,II,1014,2/15/2023
Stanislaus,REACT Center,II,288,2/15/2023
Stanislaus,Minimum Housing Units 1 & 2,II,384,2/15/2023
Sutter,Sutter County Jail,II,400,2/15/2023
Tehama,Tehama County Jail,II,191,2/15/2023
Trinity,Trinity Co. Detention Facility (replacement),II,72,2/15/2023
Tulare,South County Detention Facility,II,519,2/15/2023
Tulare,Pre-Trial Facility,II,384,2/15/2023
Tulare,Bob Wiley Detention Facility,II,696,2/15/2023
Tuolumne,J.H Dambacher Detention Center,II,234,2/15/2023
Ventura,Ventura County Main Jail,II,823,2/15/2023
Ventura,Todd Road Jail,II,796,2/15/2023
Yolo,Monroe Detention Center,II,274,2/15/2023
Yuba,Yuba County Jail,II,426,2/15/2023
Alameda,Santa Rita Jail,II,3812,10/11/2022
Amador,Amador County Jail,II,76,10/11/2022
Butte,Butte County Jail,II,614,10/11/2022
Calaveras,Calaveras Co. Adult Detention Facility,II,128,10/11/2022
Colusa,Colusa County Jail,II,92,10/11/2022
Contra Costa,Martinez Detention Facility,II,695,10/11/2022
Contra Costa,Marsh Creek Detention Facility,III,188,10/11/2022
Contra Costa,West County Detention Facility,II,1096,10/11/2022
Del Norte,Del Norte County Jail,II,146,10/11/2022
El Dorado,El Dorado County Jail,II,303,10/11/2022
El Dorado,South Lake Tahoe Jail,II,158,10/11/2022
Fresno,Fresno South Annex Jail,II,528,10/11/2022
Fresno,Fresno North Annex Jail,II,1152,10/11/2022
Fresno,Fresno County Main Jail,II,1064,10/11/2022
Glenn,Glenn Co Adult Detention Fac,II,144,10/11/2022
Humboldt,Humboldt Co. Corr. Facility,II,417,10/11/2022
Imperial,Imperial Adult Regional  Fac.,II,276,10/11/2022
Imperial,Herbert Hughes Corr. Center,II,324,10/11/2022
Imperial,Oren Fox Detention Facility,II,270,10/11/2022
Inyo,Inyo County Jail,II,96,10/11/2022
Kern,Central Receiving Facility,II,292,10/11/2022
Kern,Lerdo Pre-Trial Facility,II,1336,10/11/2022
Kern,Lerdo Maximum/Medium,II,408,10/11/2022
Kern,Kern County Justice Facility,II,796,10/11/2022
Kern,Lerdo Minimum Facility,II,792,10/11/2022
Kings,Kings County Jail Facility,II,613,10/11/2022
Lake,Lake County Jail- Hill Road Facility,II,286,10/11/2022
Lassen,Lassen Adult Detention Facility,II,231,10/11/2022
Lassen,Lassen County Adult Jail Annex,II,40,10/11/2022
Los Angeles,LA Men's Central Jail,II,3512,10/11/2022
Los Angeles,LA Twin Towers Corr. Facility,II,2432,10/11/2022
Los Angeles,L A Inmate Reception Center,II,0,10/11/2022
Los Angeles,LA North County Corr. Facility,II,2214,10/11/2022
Los Angeles,LA Pitchess East Facility,II,926,10/11/2022
Los Angeles,LA Pitchess South (No.  Annex),II,782,10/11/2022
Los Angeles,LA Pitchess North Facility,II,830,10/11/2022
Los Angeles,LA Century Reg. Det. Facility,II,1708,10/11/2022
Madera,Madera Adult Correctional Fac,II,560,10/11/2022
Marin,Marin County Jail,II,349,10/11/2022
Mariposa,Mariposa Co. Adult Det. Fac.,II,58,10/11/2022
Mendocino,Mendocino Adult Det. Facility,II,295,10/11/2022
Merced,Merced County Jail,II,189,10/11/2022
Merced,John Latorraca Correctional Center,II,566,10/11/2022
Modoc,Modoc County Jail,II,43,10/11/2022
Mono,Mono County Jail,II,48,10/11/2022
Monterey,Monterey County Jail,II,1151,10/11/2022
Napa,Napa County Jail,II,276,10/11/2022
Napa,Staff Secure Facility/Transitional Facility,IV,72,10/11/2022
Nevada,Wayne Brown Correctional Facility,II,284,10/11/2022
Orange,Orange County Mens Jail,II,1219,10/11/2022
Orange,Intake Release Center,II,407,10/11/2022
Orange,Orange County Women's Jail,II,270,10/11/2022
Orange,James A  Musick Facilities,II,449,10/11/2022
Orange,Theo Lacy,II,2080,10/11/2022
Orange,Santa Ana Police Facility,II,503,10/11/2022
Placer,Placer County Main Jail,II,492,10/11/2022
Placer,South Placer Jail,II,300,10/11/2022
Placer,So. Placer Mimimum Security,II,120,10/11/2022
Plumas,Plumas County Jail,II,67,10/11/2022
Riverside,Robert Presley Detention Ctr.,II,760,10/11/2022
Riverside,Larry D. Smith Correctional Facility,II,1458,10/11/2022
Riverside,Cois Byrd Detention Center,II,1142,10/11/2022
Riverside,Blythe Jail,II,79,10/11/2022
Riverside,John J. Benoit Detention Center,II,1536,10/11/2022
Sacramento,Sacramento County Main Jail,II,2400,10/11/2022
Sacramento,Rio Cosumnes Correctional Ctr.,II,1625,10/11/2022
San Benito,San Benito Adult Detention,II,142,10/11/2022
San Benito,Curtis J. Hill Rehabilitation Center,II,72,10/11/2022
San Bernardino,San Bernardino Central Detention Center,II,712,10/11/2022
San Bernardino,San Bernardino Glen Helen,II,1070,10/11/2022
San Bernardino,San Bernardino High Desert Detention Center,II,2098,10/11/2022
San Bernardino,West Valley Detention Center,II,3072,10/11/2022
San Diego,San Diego Central Jail,II,946,10/11/2022
San Diego,Las Colinas Women's Detention,II,1216,10/11/2022
San Diego,Facility # 8,II,200,10/11/2022
San Diego,South Bay Detention Facility,II,386,10/11/2022
San Diego,George Bailey Detention Facility,II,1380,10/11/2022
San Diego,East Mesa Reentry Facility,II,760,10/11/2022
San Diego,Vista Detention Facility,II,807,10/11/2022
San Diego,Work Furlough/Correctional Alternatives Inc.,IV,488,10/11/2022
San Francisco,San Francisco County Jail #2,II,392,10/11/2022
San Francisco,San Francisco Co. Jail #3,II,768,10/11/2022
San Francisco,San Francisco Co. Jail #3 Annex,II,124,10/11/2022
San Joaquin,John J. Zunino Facility,II,1195,10/11/2022
San Joaquin,San Joaquin County Honor Farm,II,355,10/11/2022
San Luis Obispo,San Luis Obispo County Jail,II,639,10/11/2022
San Luis Obispo,San Luis Obispo Honor Farm,III,63,10/11/2022
San Mateo,Maguire Correctional Facility,II,688,10/11/2022
San Mateo,Maple Steet Correctional Facility,II,586,10/11/2022
San Mateo,SM Transitional Facility,IV,88,10/11/2022
Santa Barbara,Santa Barbara County Main Jail,II,615,10/11/2022
Santa Barbara,Northern Branch Jail,II,344,10/11/2022
Santa Barbara,Medium Security Facility,II,160,10/11/2022
Santa Clara,Santa Clara County Main Jail,II,1350,10/11/2022
Santa Clara,Elmwood Complex - Men's facility,II,2397,10/11/2022
Santa Clara,Elmwood Complex - Women's Facility,II,634,10/11/2022
Santa Cruz,Santa Cruz County Jail,II,319,10/11/2022
Santa Cruz,Santa Cruz Roundtree Lane Min,II,96,10/11/2022
Santa Cruz,Santa Cruz Blaine Womens Min,II,32,10/11/2022
Shasta,Shasta County Main Jail,II,484,10/11/2022
Siskiyou,Siskiyou County Jail,II,104,10/11/2022
Solano,Claybank Facility,II,358,10/11/2022
Solano,Stanton Correctional Facility,II,365,10/11/2022
Solano,Solano County Justice Center,II,712,10/11/2022
Sonoma,Sonoma Main Adult Detention,II,848,10/11/2022
Sonoma,Sonoma-North County Facility,II,561,10/11/2022
Stanislaus,Sheriff's Detention Center East & West,II,1014,10/11/2022
Stanislaus,REACT Center,II,288,10/11/2022
Stanislaus,Minimum Housing Units 1 & 2,II,384,10/11/2022
Sutter,Sutter County Jail,II,400,10/11/2022
