State,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MISSOURI,5637,5279,5726,6489,7445,8103,8770,9796,10309,11357,12176,13921,14943,15897,16195,16178,17898,19134,22003,23664,25060,26155,27543,28757,30099,30303,31081,30823,30167,29857,30186,30563,30623,30833,31247,31537,31942,32330,32461,32601,30369,26044
MISSISSIPPI,2896,3508,3902,4624,5484,5586,6115,6392,6747,6880,7384,7911,8375,8904,8905,9907,10930,12684,13859,14296,16678,18247,20241,21460,22705,20589,20983,20515,21068,22431,22754,21482,21067,21386,22319,21969,18793,18911,19192,19103,19275,19417
MONTANA,690,715,739,831,914,903,964,1129,1111,1207,1272,1328,1425,1478,1548,1541,1764,1999,2230,2541,2734,2951,3105,3328,3323,3620,3164,3509,3563,3431,3517,3605,3716,3678,3609,3642,3699,3685,3814,3698,3765,4723
NORTH CAROLINA,13252,14255,15513,15770,16569,15395,16371,17344,17698,17218,17078,17454,18411,18903,20454,21892,23648,29253,30647,31612,31961,31086,31266,32253,32832,33560,35434,36365,37460,37970,39482,39860,40382,39440,37136,36922,37096,36617,35697,36394,34899,34079
NORTH DAKOTA,200,186,253,280,322,410,432,422,421,430,466,451,483,492,477,498,536,608,722,797,915,943,1076,1111,1112,1239,1327,1385,1363,1416,1452,1486,1487,1423,1512,1576,1718,1795,1791,1723,1695,1794
NEBRASKA,1347,1291,1446,1488,1739,1629,1655,1814,2044,2086,2156,2393,2403,2526,2514,2518,2711,3074,3287,3402,3676,3688,3895,3937,4058,4040,4130,4455,4407,4505,4520,4474,4587,4616,4705,5026,5441,5372,5302,5313,5491,5682
NEW HAMPSHIRE,283,316,326,398,445,479,581,683,782,867,1019,1166,1342,1533,1777,1775,2021,2015,2062,2168,2169,2257,2257,2392,2451,2434,2448,2530,2805,2943,2702,2731,2761,2614,2790,3018,2963,2897,2818,2750,2722,2691
NEW JERSEY,5869,5852,5884,7011,8191,9192,10363,11335,12020,15969,16936,19439,21128,23483,22653,23831,24632,27066,27490,28361,31121,31493,29784,28142,27891,27246,26757,27359,27371,26827,25953,25382,25007,23834,23225,22452,21590,20489,19786,19585,19362,18613
NEW MEXICO,1593,1556,1279,1497,1718,1977,2129,2313,2416,2670,2825,3158,3187,3119,3271,3498,3712,4078,4724,4688,5078,5174,5342,5668,5991,6223,6379,6571,6639,6466,6322,6363,6763,6998,6727,6931,7021,7104,7055,7276,7030,6723
NEVADA,1350,1566,1839,2116,2753,3188,3488,3771,4551,4434,4881,5112,5322,5823,6049,6412,6993,7713,8325,9024,9651,9494,10063,10233,10478,10543,11365,11782,12839,13400,12743,12482,12653,12778,12883,13056,12537,13071,13757,13721,13641,12840
NEW YORK,20459,20856,21815,25494,27945,30510,33109,34507,38449,40842,44560,51232,54895,57862,61736,64569,66750,68486,69709,69108,72289,72899,70199,67533,67065,65198,63751,62743,63315,62620,60347,58687,56656,55436,54210,53550,52518,51727,50716,49461,46636,43500
OHIO,13107,13360,13489,14968,17317,18007,18619,20864,22463,24240,26462,30538,31822,35744,38378,40641,41908,44663,46174,48016,48450,46842,45833,45281,45646,44778,44806,45854,49166,50731,51686,51606,51712,50964,50876,51729,51519,52233,52175,51478,50431,50338
OKLAHOMA,4186,4250,4796,5281,6500,7480,7872,8330,9708,9639,10448,11608,12285,13340,14821,16409,16631,18151,19593,20542,20892,22393,23181,22780,22802,22821,24508,24826,24288,24603,24660,24803,26252,25977,25225,27547,27650,28547,29916,28143,26956,25679
OREGON,2879,3179,3177,3295,3900,3952,4224,4376,4770,5457,5991,6156,6492,6732,6583,6557,6936,7886,8661,7999,9034,9860,10580,11410,12085,12715,13183,13411,13707,13948,14167,14403,14876,14510,14840,15517,15075,15245,15166,15218,15268,14961
PENNSYLVANIA,7814,7772,8171,9365,10508,11767,13090,14227,15201,16267,17900,20469,22290,23388,24974,26050,28302,32416,34537,34964,36377,36525,36847,38062,40168,40890,40963,42380,44397,45969,49215,51429,51264,51578,51125,51422,50694,49858,49244,48333,47239,45702
RHODE ISLAND,664,738,813,962,1037,1157,1221,1306,1358,1428,1906,2479,2392,2771,2775,2783,2919,2902,3271,3371,3445,3003,3286,3241,3520,3527,3430,3654,3996,4018,4045,3674,3357,3337,3318,3361,3359,3248,3103,2861,2767,2740
SOUTH CAROLINA,7536,7643,7862,8538,9137,9576,9892,10510,11676,12664,13888,15720,17319,18269,18643,18704,18999,19611,20446,21173,21764,22008,21778,22576,23715,23719,23428,23160,23616,24239,24326,24288,23578,22914,22388,22060,21401,20929,20858,19906,19033,18608
SOUTH DAKOTA,532,562,635,693,791,826,921,1049,1081,1133,1020,1256,1341,1374,1487,1553,1708,1871,2063,2242,2422,2506,2616,2790,2918,3026,3095,3463,3359,3311,3342,3434,3434,3535,3650,3682,3608,3564,3831,3970,3948,3801
TENNESSEE,5835,6629,7022,7897,7869,8201,7307,7127,7591,7639,7732,10630,10388,11474,11849,12824,14401,15206,15626,16659,21438,22502,22166,23671,24989,25403,25884,26369,25745,26267,27228,26965,27451,28479,28411,28521,28769,28172,28203,28980,26321,26349
TEXAS,24575,26522,29892,31502,36149,35259,36682,37532,38534,38821,40437,44022,50042,51677,60467,92013,118195,127766,132383,140351,144510,163190,166719,162070,162003,166911,168105,169003,172116,171790,172506,171249,173649,172224,166372,168280,166043,163909,163703,162523,163628,158429
UTAH,911,960,932,1140,1216,1274,1504,1633,1776,1853,1961,2394,2496,2625,2699,2888,3045,3471,4002,4301,4907,5322,5637,5339,5562,5763,5991,6382,6433,6515,6552,6538,6807,6879,6962,7077,7031,6495,6175,6219,6651,6665
VIRGINIA,8344,8449,8920,9388,10079,10093,10839,12073,12930,13321,14184,16477,17593,19829,21199,22850,26968,27415,27655,28385,30276,29789,30168,31662,34973,35067,35564,35344,36688,37984,38216,38059,37638,38130,37044,36982,37544,38403,37813,37158,36660,36091
VERMONT,441,431,480,534,599,497,501,677,697,759,820,905,1049,1118,1254,1223,1301,1279,1119,1270,1473,1536,1697,1741,1863,1944,1968,2078,2215,2116,2116,2220,2079,2053,2034,2078,1979,1750,1735,1546,1659,1608
WASHINGTON,4487,4342,4399,5336,6264,6658,6821,6919,6603,6131,5816,6928,7995,9156,9959,10419,10833,11608,12527,13214,14161,14590,14915,15159,16062,16148,16614,17382,17561,17772,17926,18233,18235,17847,17271,17984,18120,18284,19104,19656,19523,19261
WISCONSIN,3432,3677,3980,4385,4714,4845,4974,5425,5736,6143,6353,6788,7465,7854,8191,8781,10022,11199,12991,16280,18403,20390,20754,21495,22113,22604,22959,22697,23415,23743,23379,23165,22729,22657,22600,22471,22597,22975,23377,23945,24064,23956
WEST VIRGINIA,1237,1251,1257,1565,1547,1611,1579,1725,1472,1449,1455,1536,1565,1502,1674,1805,2332,2512,2749,3148,3478,3532,3856,4215,4544,4758,5067,5312,5733,6056,6059,6367,6681,6826,7070,6824,6896,7118,7162,7092,6775,6800
WYOMING,433,504,534,556,702,721,724,762,861,916,945,1026,1110,1099,1063,1129,1217,1395,1477,1549,1571,1710,1680,1684,1737,1872,1980,2047,2114,2084,2084,2075,2112,2183,2204,2310,2383,2424,2374,2473,2543,2479
