State,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MISSOURI,2255,2697,2867,2710,2772,3157,3616,3755,4894,5275,5886,6982,7130,7802,8967,9821,9553,10572,10593,11489,12374,12894,14173,14657,16097,18240,18561,19230,20295,19642,18981,18110,17809,17830,17973,18798,18773,17936,18423,18439,19503,18621
MISSISSIPPI,1228,1665,2016,2179,2310,2710,2420,2691,2634,2859,2644,3177,3401,3312,4583,3885,3357,3446,4575,5151,4491,4245,4940,5709,5592,7967,8668,9189,10169,8473,7831,9287,8700,8197,7728,8202,9442,6105,7080,7748,7502,7047
MONTANA,351,312,386,460,445,468,464,390,577,544,503,575,565,590,678,687,670,609,815,916,1096,1091,1074,1276,1556,1689,1975,2127,2321,2262,2176,2288,2227,2104,2091,2351,2396,2416,2548,2774,2844,2487
NORTH CAROLINA,8153,7519,7490,9004,8960,10035,7987,8481,9274,10947,12468,15332,17253,21188,23157,24175,22188,14866,14522,12500,11726,10811,9688,9030,9030,9134,9371,9810,10028,10118,10617,11495,11539,11878,12327,13829,15264,16353,16677,17244,18111,17215
NORTH DAKOTA,178,150,146,175,191,237,215,242,310,294,271,347,333,334,330,334,345,435,479,526,646,672,604,715,773,874,924,1004,1040,984,1056,1013,1023,1022,1082,1187,1067,1525,1627,1672,1555,1359
NEBRASKA,604,624,612,709,618,646,620,544,692,826,975,1089,1245,1315,1382,1436,1408,1338,1546,1541,1532,1581,1518,1755,1868,1976,2053,2003,2106,1983,1990,2157,2152,2438,2743,2628,2326,2358,2413,2432,2281,2353
NEW HAMPSHIRE,192,180,207,218,235,250,202,238,308,350,360,430,505,637,672,959,819,978,949,946,999,1012,1066,1046,1066,1195,1086,1386,1346,1402,1507,1564,1669,1952,1655,1639,1666,1671,1612,1421,1351,1349
NEW JERSEY,3671,3651,3910,3102,3457,4832,4188,4921,5304,5545,6740,7193,8945,9779,13325,11501,12387,12586,14577,15341,14041,14734,15362,16064,14827,15043,14418,13649,13986,14358,13885,12860,12821,11744,11056,10952,10447,10436,9864,9137,8273,8228
NEW MEXICO,723,885,752,1109,945,1085,1330,1593,1649,1359,1923,1990,1967,1683,2117,2115,2158,1954,2264,3089,2264,2008,3404,3222,5828,3944,4090,4079,4274,4507,4013,4130,3953,3530,3372,3347,3515,3737,3632,3632,3652,3546
NEVADA,641,725,814,918,843,1052,1143,1456,1473,2113,2094,2826,2911,2982,3004,3113,2846,3200,3546,3834,4146,4536,4374,4480,4734,4800,5076,5479,4986,5204,5278,5967,6036,5910,5623,5623,5838,5838,5778,6549,6434,6689
NEW YORK,8050,8816,9468,8521,10259,12151,12249,13966,15169,17862,19909,21813,26516,26776,28153,32969,32376,32949,30929,30469,27978,28034,29993,29184,27860,28503,27024,26089,25804,27725,28153,26052,25852,24852,24548,23656,23234,22045,22362,21993,21966,20903
OHIO,6887,7943,9248,9088,8964,10406,10056,8873,10069,10930,11756,14249,17907,18216,20818,20320,19973,19923,20216,18309,20203,22918,24796,24959,25354,27401,28208,28098,28585,29266,28555,26953,24498,22901,21628,21238,22399,21759,22850,22299,21775,20410
OKLAHOMA,2188,2786,2342,2400,2774,3585,3951,3896,3816,5638,5221,5837,5755,5188,5747,5461,6945,6206,5991,6655,6947,6193,6708,8366,8508,8206,8563,8550,8027,8507,7948,8012,7926,7702,6952,7375,8655,8911,10419,9838,9288,9443
OREGON,2125,2152,2466,2485,2338,2945,3245,3481,3718,4244,4940,5076,5714,6007,4852,3724,2911,3118,2911,2991,2677,3234,3404,3710,4356,4499,4920,6226,5145,5085,5063,5428,5294,4574,5032,5057,5436,5088,4716,5442,5543,5900
PENNSYLVANIA,3469,3445,3832,3950,4172,4469,4640,5051,5242,5300,5462,6238,7244,8506,8483,8814,9165,6951,7793,9161,9270,10165,11888,10646,10848,13511,14737,15497,16087,16832,16055,14867,17086,18038,19157,20625,20794,21140,20632,19943,18795,18056
RHODE ISLAND,243,239,273,286,343,413,441,444,501,483,485,510,747,677,868,866,799,913,839,915,916,1374,3223,3197,3312,3684,878,815,1035,940,1130,1295,1155,1009,998,915,899,813,962,891,789,720
SOUTH CAROLINA,3081,3780,3924,3755,3648,3741,4351,4356,4517,4902,4790,4745,5439,6009,7750,7905,7628,7457,7500,7704,7942,7961,8692,8652,8650,9861,10094,9734,9223,9475,9522,9343,8729,7923,7325,6723,6907,6605,6718,6853,6605,6279
SOUTH DAKOTA,347,309,319,352,388,480,499,500,639,594,766,577,767,731,741,754,714,846,951,983,1162,1322,1335,1388,1800,1992,2432,2652,3146,3271,3110,3089,2869,2746,1970,1838,2429,2764,2845,3896,4325,4593
TENNESSEE,2820,2790,3327,3809,4297,4326,6020,5035,3323,2800,2229,3853,5075,5264,6389,5720,4964,6278,7900,8279,7691,12625,14128,12895,13765,13963,13508,14710,15508,15717,15621,15971,14969,15172,16163,16582,15769,14700,13685,13459,13877,14304
TEXAS,10559,11436,11993,15140,16496,23749,22031,25909,31688,34215,33123,33343,39809,36185,30385,20256,18236,45861,34099,36449,55181,52337,86782,66228,64720,65173,65804,71090,70413,73029,72173,72322,71500,74547,82130,74093,77277,76189,76733,77197,77714,78532
UTAH,346,443,598,594,728,805,831,863,827,812,986,968,1381,1492,1588,1740,1838,2001,2088,2531,2954,2563,2904,3151,2866,3090,3051,3250,3469,3393,3400,3498,3109,3206,3063,2988,2979,3346,3611,3781,3514,4038
VIRGINIA,2768,3506,3353,4048,5587,5474,4423,4305,5116,6109,6094,6845,8936,10271,11906,10843,8434,11022,10021,10466,9004,7705,9148,9816,9816,11606,11148,12180,12794,12559,13194,13168,13020,12380,11585,11898,12115,12490,12660,12726,12884,12697
VERMONT,309,302,381,375,301,346,336,350,430,389,449,443,624,418,350,469,356,503,1050,1030,695,841,949,1077,1857,1985,2261,2260,2329,2391,2271,2008,2158,2096,2004,1801,1785,1935,1778,1842,2543,2537
WASHINGTON,2115,2262,2413,2024,1863,2411,2362,2754,3018,3375,3548,3043,3530,3744,4673,4965,5337,5394,5543,6074,6204,6531,6905,7058,7494,9170,11660,12011,15445,16541,15095,17079,17083,16441,18205,20903,20931,21993,25004,25693,26861,24491
WISCONSIN,1547,1591,1645,1905,2019,2498,2471,2151,2508,2505,2576,2818,2880,3587,3634,4646,4659,5745,5261,5141,6464,6895,8158,7027,7699,8107,8596,8852,8749,8903,9391,8771,8640,7825,7760,5482,5442,5553,5771,5628,5860,5864
WEST VIRGINIA,474,569,610,519,640,844,894,751,907,810,700,842,844,753,415,751,745,965,807,654,1114,1254,1269,1426,1809,1886,1956,2157,2407,2981,3132,2950,3013,3270,3306,3794,3489,3652,3559,3666,4151,4152
WYOMING,199,220,228,273,233,342,337,367,255,289,338,382,392,443,442,449,479,450,510,622,735,663,702,734,703,661,672,722,784,792,792,832,802,796,894,914,874,917,1056,977,1002,1024
